Step;Has Improved;Current solution;Current fitness;Current improvement;Best Solution;Best Fitness;Best Improvement;Current Tabou Size
91;False;{11,12,9,4,7,10,3,5,8,6,1,2};255348;-2,1482;{9,12,7,4,10,11,5,3,8,6,1,2};241814;0;20
92;True;{11,12,10,4,7,9,3,5,8,6,1,2};252532;1,1028;{11,12,10,4,7,9,3,5,8,6,1,2};252532;-4,4323;20
93;True;{11,12,10,5,7,9,3,4,8,6,1,2};250198;0,9242;{11,12,10,5,7,9,3,4,8,6,1,2};250198;0,9242;20
94;True;{11,12,10,3,7,9,5,4,8,6,1,2};245878;1,7266;{11,12,10,3,7,9,5,4,8,6,1,2};245878;1,7266;20
95;True;{11,5,10,3,7,9,12,4,8,6,1,2};245578;0,122;{11,5,10,3,7,9,12,4,8,6,1,2};245578;0,122;20
96;False;{11,12,10,3,7,9,5,4,8,6,1,2};245878;-0,1222;{11,5,10,3,7,9,12,4,8,6,1,2};245578;0;20
97;False;{11,12,10,4,7,9,5,3,8,6,1,2};248854;-1,2104;{11,5,10,3,7,9,12,4,8,6,1,2};245578;0;20
98;True;{4,12,10,11,7,9,5,3,8,6,1,2};245842;1,2103;{4,12,10,11,7,9,5,3,8,6,1,2};245842;-0,1075;20
99;True;{4,12,10,9,7,11,5,3,8,6,1,2};241878;1,6124;{4,12,10,9,7,11,5,3,8,6,1,2};241878;1,6124;20
100;False;{4,12,11,9,7,10,5,3,8,6,1,2};244392;-1,0394;{4,12,10,9,7,11,5,3,8,6,1,2};241878;0;20
